video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=u8J-KUb9iiE&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@gottalovetheknowledge4749,GottaLove TheKnowledge,Vintage Shimano Dura Ace 7200 quick review,2.4K,4 years,"A quick review of my favorite vintage Shimano Dura Ace 7200 shift levers, rear derailleur and seatpost. Great equipment.",2026-01-22 04:58:18.224907
/watch?v=tr89LFxjdMY&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@cr-motube6852,Cr-Mo Tube,Shimano Dura-Ace EX Brake Set / Cr-Mo Tube Components#13 1080HD Pics,483,7 years,SHIMANO DURA ACE EX BR-7200 BLACK SERIES BRAKE SET- NOS - NIB year - 1978.,2026-01-22 04:58:18.226570
/watch?v=TMRmfwnwtCc&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@ChrisEnockson,Chris Enockson,The largest pedal spindles ever! Shimano Dura Ace AX.,2.2K,4 years,Check out this awesome old school Shimano Dura Ace AX crankset.,2026-01-22 04:58:18.229896
/shorts/UAq4MsRAbvo,/@gcntech,GCN Tech,The Evolution Of Shimano Dura-Ace! #gcntech #shimano #retrobike #bikebuild,17K,1 year,Can We Turn A Vintage Bike Into A Superbike? | Neo-Retro Bike Build Ep. 1 Watch The Full Video LIVE NOW On #YouTube!,2026-01-22 04:58:18.231265
/shorts/fd5e5adB-JI,/@OnRoadVintageBikes,OnRoad Vintage Bikes,Favorit F1Special + Dura Ace 7200 ... video coming soon,959,3 years,shorts.,2026-01-22 04:58:18.232423
/shorts/9lp9LvyXChk,/@Steelvintagebikes,Steel Vintage Bikes,The Shimano Dura Ace 7800 was the first Shimano groupset to feature 10-speed shifting.,15K,2 years,steelvintagebikes #vintagebikes #shimano #shimanoduraace #duraace #duraace7800 #bike #bicycle #cycling #bike.,2026-01-22 04:58:18.235745
/shorts/vxLKdRkttmI,/@Cyclingvideosdaily,Cyclingvideosdaily,The most expensive sound in the world? 💸 #shorts #cycling (skybikes),16K,1 day,Full Black Factor ONE equipped with Shimano Dura-Ace Di2 and Scope wheels. The ultimate aero machine. That freehub sound ...,2026-01-22 04:58:18.238266
/watch?v=BGOmeD9OimU&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@gcn,Global Cycling Network,50 Years Of Dura-Ace: From Outsider To Cycling Domination,274K,2 years,"We celebrate 50 years of the Shimano Dura-Ace, tracing the history of the groupset since its launch in 1973. Si rides Sean Yates' ...",2026-01-22 04:58:18.240205
/shorts/QqrzoEIsLLE,/@Mobilant_TV,Mobilant,"Road Bike 🌀 Shimano ""Dura-Ace"" Wireless Ready 🚴‍♂️ GRX Gravel & XTR MTB Groups Announced – 2025",31K,6 months,4 MASTER BOOKS AMAZON ...,2026-01-22 04:58:18.243745
/shorts/ILR-WP3_gBQ,/@ra-cycles,R&A Cycles,Shimano Dura-Ace RD-7402 8s Rear Derailleur,1K,2 years,"1989-1996 @RideShimano Dura-Ace RD-7402 8s Rear Derailleur If this was the look of today's rear #derailleur, I wouldn't mind.",2026-01-22 04:58:18.245955
/shorts/r7CCYgz4kg8,/@bikeradar,BikeRadar,Shimano Recalls 2.8 MILLION Cranks! 🤯 All You Need To Know,34K,2 years,#cycling #tech #recall #shimano #shortsfeed #shortsvideo #shorts #productrecall #broken #damaged #duraace #ultegra Listen to ...,2026-01-22 04:58:18.250829
/shorts/Y82bfNVnPcs,/@theproscloset,The Pro's Closet,Shimano Dura Ace vs SRAM RED AXS Our Uncensored Thoughts | TPC #cycling #shimano #sram #roadbike,3.6K,1 year,And I hated it I would I would constantly misshift it tell me how you really feel Shimano was noticeably quicker and we even lined a ...,2026-01-22 04:58:18.252424
/watch?v=LIujfkyVbqw&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@shimanocorporate,株式会社シマノ コーポレート,The History of DURA-ACE　Shimano's Centennial Teaser Site,60K,5 years,The history of DURA-ACE is a history of continuous evolution powered by Shimano's advanced technological development ...,2026-01-22 04:58:18.256647
/watch?v=MyN7rBORDBY&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@tuanvlog3805,PAT VLOG chuyên xe đạp thể thao classic,Muller với group dura-ace 7200 ☎️ 0918409990 để biết chi tiết.,485,9 months,... 50 ống ngang 50 ống đứng 49 ống ngang 51 đó và nó trang bị full bộ RS của Shimano durax 7200 Và nó có cái cặp đùm 7200 ...,2026-01-22 04:58:18.259232
/watch?v=jlrgHpX-fGg&pp=ygUNZHVyYSBhY2UgNzIwMA%3D%3D,/@OnRoadVintageBikes,OnRoad Vintage Bikes,Favorit F1 Special + Dura Ace 7200 BUILD,10K,3 years,Podařilo se mně koupit Favorit F1 Speciál v jednašedesátce v původním lehce pošramoceném laku. A protože Favoritů na ...,2026-01-22 04:58:18.260629
