video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nnhyPntYn4Y&pp=ygUNZHVyYSBhY2UgNzcwMNIHCQmHCgGHKiGM7w%3D%3D,/@newoldsteelcycling,NewOldSteelCycling,Are The Shimano Ultegra/600 Downtube Shifters Better Than The Dura Ace 7700 Shifters? Review!,14K,3 years,"Hello again! This video does have a review mixed with discussion on downtube shifters! Also, component update on my ...",2026-01-22 04:49:58.495335
/watch?v=Z4yUcyb2Veg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@atboy4342,ATBOY,Pt.1 Shimano Dura ace 7700 2/3 speed shifter: Rebuild service clean disassembled taking apart repair,10K,3 years,First part of theeeee Dura Ace 7700 shifter rebuild. 2 and probably 3 speed side (likely no difference). This was not possible to ...,2026-01-22 04:49:58.498322
/watch?v=plGVdnAcMtA&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@gplama,Shane Miller - GPLama,Quick Shimano Dura-Ace Gear Cable Replacement  (Von's S-Works Bike),59K,8 years,A quick way to unlock 'good husband points' is to make sure Von's bike is working 100%.... or at least make it work better than it ...,2026-01-22 04:49:58.499720
/watch?v=fIGO8uB-qMo&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@ta93sugi,ta93sugi,DURA-ACE 7700 REAR HUB,9.3K,14 years,DURA-ACE 7700 ハブの回転状態です。MAVIC REFLEX WHEELとVittoria CORSA EVO CX Tuタイヤ装着。スポークは星の ...,2026-01-22 04:49:58.504064
/watch?v=lxaE6DmVtps&t=108s&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@gcn,Global Cycling Network,Battle Of The Best: Which Shimano Groupset Is The Greatest?,165K,3 years,"Shimano groupsets are to many people purely just a means to an end, a way to make riding your bike that bit easier, but to Ollie, ...",2026-01-22 04:49:58.505709
/watch?v=q6ZiRa-YfwQ&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@RetroRebuilds,Retro Rebuilds,How To Rebuild a Shimano Dura Ace 7700/7800 Derailleur,8.1K,2 years,Thanks to Silicon Valley Bicycle Exchange for lending me this derailleur! https://bikex.org/ Ignore this: Rebuild Service ...,2026-01-22 04:49:58.507052
/watch?v=FZnYQ58cLHk&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@Mapdec,Mapdec Cycle Works,Is Shimano About To Change Everything With Dura-Ace?,53K,5 months,"The wireless shifting generation is almost complete, just the Shimano Road groupsets remain somewhat wired. That must be ...",2026-01-22 04:49:58.508641
/watch?v=5RIDfGNm0LM&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@Tomridesandruns,Tom Rides and Runs,Restoring Legends: Raleigh vs Vitus | Dura-Ace 7400 or 7700?,551,7 months,"In this week's video, I'm catching you up on all my retro bicycle projects – from classic Steel and Titanium Raleighs to legendary ...",2026-01-22 04:49:58.510959
/watch?v=wQK3fKCBKQk&pp=ygUNZHVyYSBhY2UgNzcwMNIHCQmHCgGHKiGM7w%3D%3D,/@atboy4342,ATBOY,Pt.2 Shimano Dura ace 7700 9 speed shifter: Rebuild service clean disassembled taking apart repair,10K,3 years,Watch out going to far undoing this. It becomes a nightmare to put back together. Part 2 of the Dura Ace 7700 shifter rebuild.,2026-01-22 04:50:07.323803
/watch?v=CE7t5isVgIo&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@DanyoSports,DanyoSports,Installing The Dura-Ace Downtube Shifters,29K,6 years,Installing the Shimano Dura-Ace downtube shifters to my Trek Madone SL 5.5. What are downtube shifters? I like the concept of ...,2026-01-22 04:50:07.325710
/watch?v=gMhD18WBSAE&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@SeeYouUpTheRoad,George Vargas,Can I pair Dura-Ace with XTR? 7700 shifters with M952 rear derailleur? 9 speed?,3.7K,3 years,In this video we pair a Shimano Dura-Ace 7700 shifter with an Shimano XTR RD-M952 rear derailleur and an 11-32 cassette.,2026-01-22 04:50:07.327285
/watch?v=VIuUk2DuRuY&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@toyosato1093,toyosato10,DURA-ACE 7700 デュラエース　7700,1.8K,5 years,大好きな7700を乗せた少し古いｂｉｋｅの紹介でーす。 もう一生分のパーツも確保してます。大事に乗りまーす。,2026-01-22 04:50:07.329952
/watch?v=YzyGvJb_mlA&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@Blackfight13,Blackfight13,Tools used to set up the BB bearings,3.5K,11 years,"Shimano Dura-Ace BB Octalink V1 size: triple (118,5mm), BSA. VAR tool.",2026-01-22 04:50:07.331902
/watch?v=u-y7gHXTuw4&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@cr-motube6852,Cr-Mo Tube,Shimano Dura-Ace 25th / Cr-Mo tube Components#17 1080HD Pics,1.2K,7 years,Video available in HD ✓ ☆ Leave Your Like ✓ ☆ Sign up ✓ ☆ Vídeo disponível em HD ✓ ☆ Deixe seu Like ✓ ☆ Inscreva-se.,2026-01-22 04:50:07.333281
/watch?v=QRdmMgMbE50&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/channel/UCdYmldePkZ7RdXksTsZIHSA,Simon B. Peterson,Colnago Dream Rabobank team bike 1999 - Shimano 9sp 7700 Dura Ace,1K,2 years,0:00 Twin Flex 2.0 https://open.spotify.com/track/54lCiMSHJ3BTeWC8715T60 2:22 Arabian Octave (upcomming album on Spotify ...,2026-01-22 04:50:07.335010
/watch?v=2c0TZpRQZeY&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@CafeExMachinaKokkola,"Cafe Ex Machina, Kokkola",Colnago Master Inspired Build XII: Installing Shimano BR-7700 Brakes & Ultegra Aero Seat Post,1.1K,10 months,"The BR-7700 brakes are a crucial part of the Dura-Ace 7700 groupset, offering precise stopping power, while the Ultegra Aero ...",2026-01-22 04:50:07.338123
/watch?v=Dz95ppmpzQo&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@markhancock7527,mark hancock,Shimano 7800.,2.4K,2 years,I believe this groupset is the best Groupset for Quality that Shimano ever made.Even now the gear change is light & smooth & the ...,2026-01-22 04:50:07.343251
/watch?v=fGvvu4D-eR4&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@baikinspace6387,BAIKIN Space,【DURAACE】 FC7700 クランク,1.8K,8 years,チャンネル登録お願いします。 Twitter↓ https://twitter.com/Baikin_Space.,2026-01-22 04:50:07.344514
/watch?v=RAABYEfciNw&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@chainreactioncycles,Chain Reaction Cycles,Shimano Dura-Ace 7800 Double Chainset Review,10K,13 years,Shimano Dura-Ace 7800 Double Chainset Buy now at Chain reaction Cycles http://www.chainreactioncycles.com/Models.aspx?,2026-01-22 04:50:07.348452
/watch?v=Z-J4gqdfpUs&pp=ygUNZHVyYSBhY2UgNzcwMNIHCQmHCgGHKiGM7w%3D%3D,/@DurianriderCyclingTips,Durianrider Cycling Tips,How To Install Shimano Dura Ace Italian Bottom Bracket,18K,8 years,For my latest bike buyers guide and best cycling tips Ive learned over the last 20 years ...,2026-01-22 04:50:07.354151
/watch?v=z5SbjGqv5Ic&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@ClassicCyclingCC,Classic Cycling,Step by Step Dura Ace Shifters Removal and Installation,14K,5 years,This video is Part 1 in a 2 part series about the installation of Dura Ace 7700 Shifter. It includes the removal of old shifters and ...,2026-01-22 04:50:07.358111
/watch?v=D7tnBagcbbM&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@durianriders,durianrider,Colnago Dream Lampre Restoration Build with Dura-Ace 7700,8.4K,5 years,The BEST ebooks for weight loss and a life of freedom tips http://durianrider.com/shop/ The BEST top tier carbon wheels ...,2026-01-22 04:50:07.364543
/watch?v=8cxXYGjIuw4&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@BicycleRestorationMan,Bicycle Restoration Man,Dura Ace Wheel Resurrection - Step by Step Hub Overhaul,14K,1 year,"Watch as we bring these premium Shimano Dura Ace wheels back to their former glory! In this complete hub overhaul guide, I'll ...",2026-01-22 04:50:07.368787
/watch?v=HkG7VpN1mM4&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@edyue1,Spedrunr ,How to remove a bicycle crank arm the easy way Shimano Dura Ace bike crankarm square taper,1.1K,5 years,Here's an easier way to remove a crank arm or remove a pedal when you can't hold onto the crank arm.,2026-01-22 04:50:07.373369
/watch?v=CVzfkx_c__I&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@SeeYouUpTheRoad,George Vargas,How to service or fix stuck Shimano Shifters - Dura-Ace 7800 (look below for other shifters),7.2K,3 years,Previous 7800 https://youtu.be/DfiGr6p8Js8 Shimano 7 Speed Shifters https://youtu.be/Hwp8pr_8ovQ XTR Shifters ...,2026-01-22 04:50:07.374563
/watch?v=0jCsUCxMYN0&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@BuffsVintageBikes,Buffs Vintage Bikes,Restoring a classic Dura-Ace crankset,10K,4 years,This video will take you through the process use to restore a classic Dura-Ace 7402 crankset. Check out http://smoovelube.com to ...,2026-01-22 04:50:07.379414
/watch?v=GQnejDm0fs0&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@roadcc,road.cc,This steel road bike beat every big carbon brand | Road Bike Of The Year 2025 / 2026,16K,14 hours,"If you want to ride faster and in more comfort in 2026, then you might be looking for a bike upgrade. If that is the case then you ...",2026-01-22 04:50:15.506336
/watch?v=CjKI67iiBdU&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@CafeExMachinaKokkola,"Cafe Ex Machina, Kokkola","Fast Wrench: Shimano Dura-Ace ST-7700-C Lever Rebuild: Step-by-Step Restoration, Part I",503,11 months,"In this video, you will see how to rebuild and assemble a left-side Shimano Dura-Ace ST-7700-C Dual Control Lever.",2026-01-22 04:50:15.508129
/watch?v=3bH-ptUc4uA&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@SethJayson,Seth Jayson,Dura Ace bar ends are junk,4.7K,7 years,"I love bar end shifters for many bike designs. Dura Ace work great, until they don't. This seemingly bulletproof piece of kit has a ...",2026-01-22 04:50:15.509306
/watch?v=CROGcl1-zwQ&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@CafeExMachinaKokkola,"Cafe Ex Machina, Kokkola","Fast Wrench: Shimano Dura-Ace ST-7700-C Lever Rebuild: Step-by-Step Restoration, Part II",791,10 months,"In this second part of the Shimano Dura-Ace ST-7700-C Dual Control Lever restoration, you'll see the complete disassembly, ...",2026-01-22 04:50:15.510833
/watch?v=7VFOPpFK6Lw&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@davidarthur,David Arthur - Just Ride Bikes,The Endurance Road Bikes I’d Actually Buy in 2026,18K,15 hours,Head to https://squarespace.com/davidarthur to save 10% off your first purchase of a website or domain using code ...,2026-01-22 04:50:15.512572
/watch?v=Ecrgk6BYskI&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@manma100ik,まんまの動画,【１分紹介チャレンジ】 1996年モデル！9速時代のDURA ACE RD7700！,14K,4 years,ピッタリ1分！！この紹介シリーズ続きます～ チャンネル登録→https://www.youtube.com/user/manma100ik?sub_confirmation=1 ...,2026-01-22 04:50:15.514920
/watch?v=i_zfv6HDQpc&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@zhenya6778,Zhenya,Dura-ace 7700 NJS Bottom Bracket,8.3K,6 years,Подробный обзор каретки Dura-ace 7700 NJS для системы Dura-ace 7710 Самая низкая цена ...,2026-01-22 04:50:15.516290
/watch?v=2ErQyFZYWzg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@durianriders,durianrider,How to ride 200km with ZERO fatigue ft Colnago Dream Lampre Team Dura Ace 7700,9.1K,5 years,The BEST ebooks for weight loss and a life of freedom tips http://durianrider.com/shop/ The BEST top tier carbon wheels ...,2026-01-22 04:50:15.517498
/watch?v=KfJviic-wjA&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@keretaangin232,Kereta Angin,Keirin NJS Bottom Bracket (BB) Replacement -- Shimano Dura-Ace (Octalink) vs Hatta Swan (Tapered),6.9K,5 years,"Bicycle Bottom Bracket Replacement Shimano Dura-Ace 7710 (NJS) - octalink Hatta Swan R9400 (NJS) - tapered Yes, the Keirin ...",2026-01-22 04:50:15.518605
/watch?v=c-hI7ULtLxM&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@barriem5318,Barrie M,Old School Dura Ace Bottom Bracket,529,3 years,My steel Marinoni road bike and bottom bracket issues.,2026-01-22 04:50:15.519725
/watch?v=P84g1k-pMJo&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@WORLDBIKEVINTAGE,WORLD BIKE,⚙️ 🔥 SHIMANO DURA ACE⚙️ 🔥,6.5K,2 years,Hoy te traigo un pedacito de la historia del ciclismo mundial de la mano de otra de las grandes empresas vinculadas al ciclismo ...,2026-01-22 04:50:15.520816
/watch?v=3A0nI_DNiJk&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@tony10speed,Tony Marchand,Inline Gear Indicator Install Part 1,6.2K,10 years,Inline Gear Indicator Installation Part 1 covers a step by step technique for installing a gear indicator for bicycles with externally ...,2026-01-22 04:50:15.522377
/watch?v=0AYOsoRlmAg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@carreramann,carreramann,Hambini Spin Test. Kein Ceramicspeed! Altes Dura Ace 7700 Zeug. By Rallispeed. Teil 1/2,568,2 years,Im Spinntest. Dura Ace FC 7701 Kurbel und BB 7700 Innenlager. Baujahr: 1996 !! und seit dem gefahren!! Noch Fragen? Dat alte ...,2026-01-22 04:50:15.523532
/watch?v=rx27bkzJqRA&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@KolaVisek,Kola Visek,TREK Madone SLR 7 AXS Gen 8 2026 | PROJECT ONE,60,18 hours,Take a look on TREK Madone Gen 8 bike in Project One system. Frame size: ML (56 cm) Color : Matte Deep Smoke Weight: ML ...,2026-01-22 04:50:15.524621
/watch?v=ZQa0Q0MPvLw&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@YoucandoitwithJules,You Can Do It ,Rear Cassette - Dura Ace - Full Service and clean,706,4 years,"Tutorial on how to remove, fully clean and refit a bicycle rear cassette. Step-by-step process.",2026-01-22 04:50:15.525691
/watch?v=K4IPmFr_Gbs&pp=ygUNZHVyYSBhY2UgNzcwMNIHCQmHCgGHKiGM7w%3D%3D,/@VincentStevenson,Vincent Stevenson,10-speed to 9-speed conversion road bike,3.6K,6 years,"I'm a big fan of the Shimano Dura Ace 7700 9-speed shifters. I bought some on eBay and in this video, I show how I ""upgraded"" ...",2026-01-22 04:50:15.527236
/watch?v=m5f2KN2c8GY&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@ta93sugi,ta93sugi,DURA-ACE 7700 FRONT HUB　ROTATION 回転,1.8K,14 years,DURA-ACE 7700 ハブの回転状態です。MAVIC REFLEX WHEELとVittoria CORSA EVO CX Tuタイヤ装着。スポークは星の ...,2026-01-22 04:50:15.528367
/watch?v=HeIE5F7Oxbg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@pierredehaven3539,PierreDehaven,Shimano DURA ACE R9200 Cassette 12speed 1130T 1134T CS R9200 12S Original Box HYPERGLIDE Road Casse,No,6 hours,Shimano DURA ACE R9200 Cassette 12speed 1130T 1134T CS R9200 12S Original Box HYPERGLIDE Road Casse Buy here ...,2026-01-22 04:50:15.529517
/watch?v=Bpmly0zEbTY&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@tuanvlog3805,PAT VLOG chuyên xe đạp thể thao classic,Road vitus 979 group dura-ace 7700 is worth owning. ☎️ 0918409990 for more details.,847,1 month,... group set cũng của Durac nhưng mà đời này đời 7700 các bác nhá durac 7700700 cặp bánh bộ Shimano R561 cái cặp bánh ...,2026-01-22 04:50:15.530815
/watch?v=8ppfNvM6m48&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@BocDiscover,Boc Discover,Shimano DURAACE R9200 Crankset 12s 165mm 17017251751675mm HOLLOWTECH II Road Bicycle Crank 5034T 52,No,4 hours,Shimano DURAACE R9200 Crankset 12s 165mm 17017251751675mm HOLLOWTECH II Road Bicycle Crank 5034T 52 Buy ...,2026-01-22 04:50:23.700366
/watch?v=9hI4SmQWpi4&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@KacperDudaPL,Kacper Duda,Orbea CCC Polsat - Shimano Dura Ace 7700 - Dariusz Baranowski,345,2 years,Orbea CCC Polsat - Shimano Dura Ace 7700 Aero Quatro Expert Szczecin - Jarosław Zieliński Giro d'Italia 2003 ...,2026-01-22 04:50:23.701088
/watch?v=m6k8yp9wsCE&pp=ygUNZHVyYSBhY2UgNzcwMNIHCQmHCgGHKiGM7w%3D%3D,/@crowngears_syuppin,【公式】ロードバイク専門店CROWN GEARS ※閉店いたしました※,COLNAGO (コルナゴ) DREAM Reflex ドリーム リフレックス DURA-ACE 7700 9S サイズ550（172.5-177.5cm） ロードバイク,893,6 years,COLNAGO (コルナゴ) DREAM Reflex ドリーム リフレックス DURA-ACE 7700 9S サイズ550（172.5-177.5cm） ロードバイク ...,2026-01-22 04:50:23.701801
/watch?v=JddnZK7B_4E&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@Predatorcycling,Predator Cycling,Track Bottom Bracket Bearing Upgrade Test,4.2K,15 years,As most of you know there are very little options when it comes to Track Bottom Brackets. So we took it upon ourselves to trick ...,2026-01-22 04:50:23.702427
/watch?v=LIujfkyVbqw&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@shimanocorporate,株式会社シマノ コーポレート,The History of DURA-ACE　Shimano's Centennial Teaser Site,60K,5 years,The history of DURA-ACE is a history of continuous evolution powered by Shimano's advanced technological development ...,2026-01-22 04:50:23.703442
/watch?v=L7eHLuhLxoA&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@atboy4342,ATBOY,Shimano Dura Ace 7900 Shifters : restore service clean disassembled,11K,2 years,Opening up some Dura Ace 7900 Shifters. How to replace the brake levers. Opening up the mechanism for the 3 speed side.,2026-01-22 04:50:23.704690
/watch?v=9ySDUdHxxVQ&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@BikeWhisperer-e6o,BikeWhisperer,Can Dura-Ace to Sora ever be an upgrade for your bike!? [Part 2],488,7 months,Can top of the range Dura-Ace to low end Sora really be a worthwhile upgrade for a road bike? Watch on to find out as I found out ...,2026-01-22 04:50:23.705424
/watch?v=frxtY0Khvq4&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@Primifluous,Primifluous,Cog worn out,52,1 year,"Cog seems worn out. Dura Ace 7700 RD, Sachs 7 speed freewheel, 9-speed KMC chain.",2026-01-22 04:50:23.706903
/watch?v=EGruCcE0BFg&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@punainenparooni7531,Punainen Parooni,Shimano Dura-Ace FC7710,2K,10 years,All factory grease removed.,2026-01-22 04:50:23.707666
/watch?v=4uJLfy0GWuY&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@AndyDoesCycling,Andy Does Cycling,Bike number one! | The Dorset bike! | My first bike since 2001!,355,2 years,"Equipped with an array of Shimano Dura Ace, Ultegra, and Sora. This is going to be my main bike to get back into cycling and the ...",2026-01-22 04:50:23.708347
/watch?v=fWayxfaqo9Y&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@spinningtrue,Spinning True,Shimano Dura-Ace 9000 11 speed Bar-end Shifter Disassembly,13K,4 years,How to disassemble and reassemble the Shimano Dura Ace SL-BSR1 11 Speed bar end shifters. Note: At 3:20 I say that I'm not ...,2026-01-22 04:50:23.709208
/watch?v=Y2SqOu0q9OM&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@tuanvlog3805,PAT VLOG chuyên xe đạp thể thao classic,DURA-Ace 7700 25th group set ☎️ 0918409990 for more details.,1.8K,4 weeks,... nha hôm nay em giới thiệu đến các bác một bộ group set phiên bản kỷ niệm của Shimano này dura 7700 phiên bản kỷ niệm 25 ...,2026-01-22 04:50:23.709845
/watch?v=W1gp2kgs0Ak&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/channel/UCdYmldePkZ7RdXksTsZIHSA,Simon B. Peterson,Fondriest Wind - shimano dura-ace 7400 (music-video),3.6K,4 years,Spotify: https://open.spotify.com/track/47g6wIfu4pRVElaZBkH8nw music & artwork video: Bram Peterson song: intro film: Fondriest ...,2026-01-22 04:50:23.710490
/watch?v=fqBJs9y0zmE&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@NoirCycling,An Nguyen,Removing & Installing Shimano Dura Ace crankset | Shimano recall,5.9K,2 years,My 2nd video on the removal and installation of the DURA-ACE FC-R9100 crankset. Shimano recently recalled specific model of ...,2026-01-22 04:50:23.711715
/watch?v=vfqbX9iOE6k&pp=ygUNZHVyYSBhY2UgNzcwMA%3D%3D,/@bikeradar,BikeRadar,The Best Road Bike Groupset Is OLD,78K,9 months,"While Shimano, Sram and Campagnolo produce some amazing groupsets in 2025, nothing, in Liam's eyes, can beat the old ...",2026-01-22 04:50:23.712401
/watch?v=wQncKmddahk&pp=ygUNZHVyYSBhY2UgNzcwMNIHCQmHCgGHKiGM7w%3D%3D,/@artscyclery875,Art's Cyclery,How To: Adjust Shimano Rear Derailleurs,4.2M,12 years,SUBSCRIBE to our channel to see our WEEKLY video uploads: https://www.youtube.com/user/wwwartscyclerycom Want the ...,2026-01-22 04:50:23.713290
